Key,Squad,O. Poss,O. Gls,O. Sh,O. SoT,O. SoT%,O. PKatt,O. CrdY,O. CrdR,O. Int,CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2018-World Cup-Tunisia,Tunisia,47.3,2.33,16.3,7,42.9,0.33,1.33,0,12.3,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Tunisia,Tunisia,42.6,0.6,10.8,2.2,20.4,0.2,2,0.6,7.8,2,0,1,0,0,0
2019-Africa Cup of Nations-Tunisia,Tunisia,46.1,0.39,9.22,2.34,25.4,0.13,1.69,0,10.3,0.26,0,1,0,0,0
2017-Africa Cup of Nations-Tunisia,Tunisia,47.3,1.75,8.5,3,35.3,0.25,2.75,0,16,1,0,1,0,0,0
2015-Africa Cup of Nations-Tunisia,Tunisia,49.5,1.16,11.4,4.65,40.8,0.47,0.7,0,12.1,0.47,0,1,0,0,0
2018-World Cup-Uruguay,Uruguay,53.4,0.6,10.2,2.4,23.5,0,1.6,0.2,13.6,0.2,0,0,0,1,0
2021-Copa America-Uruguay,Uruguay,48,0.4,7.2,2.8,38.9,0,1.8,0,15.6,0.8,0,0,0,1,0
2019-Copa America-Uruguay,Uruguay,47,0.47,6.74,1.63,24.1,0,0.93,0.23,10.2,0.47,0,0,0,1,0
2016-Copa America-Uruguay,Uruguay,50.3,1,13,4.67,35.9,0,2.67,0.33,11,1.33,0,0,0,1,0
2022-CONMEBOL WCQ-Uruguay,Uruguay,53.4,1.22,10.8,4.28,39.7,0.11,2.06,0.17,11.6,1.61,0,0,0,1,0
2021-Copa America-Bolivia,Bolivia,64.8,2.25,22,10.5,47.7,0.25,1,0,16,2.75,0,0,0,1,0
2019-Copa America-Bolivia,Bolivia,59.3,3,17.7,7,39.6,0.33,1,0,10.7,2,0,0,0,1,0
2016-Copa America-Bolivia,Bolivia,72,2.33,16.3,7.33,44.9,0.33,2.67,0,7.67,3,0,0,0,1,0
2022-CONMEBOL WCQ-Bolivia,Bolivia,57.4,2.28,17.4,6.33,36.3,0.22,1.33,0,8.83,2.44,0,0,0,1,0
2021-Copa America-Chile,Chile,42.8,0.8,12,3.6,30,0.2,1.4,0.2,18,2.2,0,0,0,1,0
2019-Copa America-Chile,Chile,42.5,1.11,9.21,2.86,31,0.16,2.54,0.32,10.8,0.79,0,0,0,1,0
2016-Copa America-Chile,Chile,37,0.79,11.9,2.54,21.3,0,2.86,0.32,14.8,0.95,0,0,0,1,0
2022-CONMEBOL WCQ-Chile,Chile,46.1,1.44,11.5,4.61,40.1,0.33,2.39,0.11,11.6,2.89,0,0,0,1,0
2021-Copa America-Ecuador,Ecuador,44.6,1.8,9.4,3.6,38.3,0,1.2,0,14.4,1.8,0,0,0,1,0
2019-Copa America-Ecuador,Ecuador,52.7,2,14,5.67,40.5,0,2.33,0,7,2.67,0,0,0,1,0
2016-Copa America-Ecuador,Ecuador,52,1,8.75,3,34.3,0,2.25,0.25,12.3,1.25,0,0,0,1,0
2022-CONMEBOL WCQ-Ecuador,Ecuador,48.4,1,10.2,3.06,29.9,0.28,2.56,0.17,9.56,2.22,0,0,0,1,0
2021-Copa America-Paraguay,Paraguay,47.4,0.94,8.68,3.02,34.8,0.38,2.26,0.38,13.6,1.89,0,0,0,1,0
2019-Copa America-Paraguay,Paraguay,57.3,0.93,12.3,4.65,37.7,0.23,2.79,0,7.44,1.4,0,0,0,1,0
2016-Copa America-Paraguay,Paraguay,42.7,1,9,4,44.4,0,3,0.67,17,2.67,0,0,0,1,0
2022-CONMEBOL WCQ-Paraguay,Paraguay,53.6,1.39,13.4,4.28,31.8,0.17,2.28,0.06,10.6,2.94,0,0,0,1,0
2021-Copa America-Venezuela,Venezuela,63.3,1.5,17.3,5.75,33.3,0.25,1.75,0.25,12.5,2,0,0,0,1,0
2019-Copa America-Venezuela,Venezuela,53.8,0.75,16,5.25,32.8,0,1.75,0,8.5,1,0,0,0,1,0
2016-Copa America-Venezuela,Venezuela,57,1.25,14.8,4.75,32.2,0,1.25,0.25,10.8,2,0,0,0,1,0
2022-CONMEBOL WCQ-Venezuela,Venezuela,57.2,1.89,12.4,4.94,39.9,0.22,1.44,0.06,11.9,2.56,0,0,0,1,0
2016-Copa America-Haiti,Haiti,54.7,4,17.3,9.33,53.8,0,1.33,0,14.3,1.67,0,0,1,0,0
2021-Gold Cup-Haiti,Haiti,54.7,2,12.7,4.67,36.8,0.67,2,0.67,10,0.67,0,0,1,0,0
2019-Gold Cup-Haiti,Haiti,63.8,0.75,13.6,3.58,26.4,0.19,1.51,0,2.08,0.19,0,0,1,0,0
2016-Copa America-Jamaica,Jamaica,58,1.67,16,5,31.3,0,0.67,0,10,1.67,0,0,1,0,0
2021-Gold Cup-Jamaica,Jamaica,52.3,0.5,8,3,37.5,0,1,0.25,9,2,0,0,1,0,0
2019-Gold Cup-Jamaica,Jamaica,54,1.2,10.2,3.4,33.3,0,1.6,0,0.4,0.6,0,0,1,0,0
2017-Gold Cup-Jamaica,Jamaica,65.2,0.67,14.8,5,33.7,0,1.5,0,14.3,0.83,0,0,1,0,0
2016-Copa America-United States,United States,58,1.33,13.5,4.83,35.8,0.17,1.67,0.33,13.5,1.33,0,0,1,0,0
2021-Gold Cup-United States,United States,44,0.16,13.5,3.65,27.1,0.32,1.27,0,12.9,0.63,0,0,1,0,0
2019-Gold Cup-United States,United States,45,0.33,11.8,3.17,26.8,0,1.5,0,1.5,0.17,0,0,1,0,0
2017-Gold Cup-United States,United States,40.5,0.67,8.67,3.17,36.5,0,2,0.17,18.2,0.33,0,0,1,0,0
2021-Gold Cup-Canada,Canada,47,1,7.8,2.8,35.9,0.4,1.2,0.2,11.4,2.8,0,0,1,0,0
2019-Gold Cup-Canada,Canada,45,1.5,15,4,26.7,0.25,1.25,0,1.75,0.75,0,0,1,0,0
2017-Gold Cup-Canada,Canada,50.8,1.25,14.5,6.5,44.8,0,1.25,0,20,0.25,0,0,1,0,0
2021-Gold Cup-El Salvador,El Salvador,40.3,1,10,3.5,35,0.25,2,0,13.8,1.75,0,0,1,0,0
2019-Gold Cup-El Salvador,El Salvador,53.3,1.33,8,3,37.5,0,2.33,0,1,1.67,0,0,1,0,0
2017-Gold Cup-El Salvador,El Salvador,54.5,1.5,12.8,6.25,49,0.5,1.25,0,16.3,1,0,0,1,0,0
2021-Gold Cup-Grenada,Grenada,63,3.67,15.7,6.67,42.6,0,0,0,10.3,1.33,0,0,1,0,0
2021-Gold Cup-Guadeloupe,Guadeloupe,59.3,2.33,16.3,7.67,46.9,0,3,0,7,2.33,0,0,0,1,0
2021-Gold Cup-Guatemala,Guatemala,62.3,2,15,6,40,0,1,0,10.3,1.33,0,0,1,0,0
2021-Gold Cup-Honduras,Honduras,50.8,1.75,15.5,5.25,33.9,0.5,1,0,11.3,1.75,0,0,1,0,0
2019-Gold Cup-Honduras,Honduras,41.7,1.33,9.67,4.67,48.3,0,0.33,0,0.33,0.67,0,0,1,0,0
2017-Gold Cup-Honduras,Honduras,47.7,0.5,11.3,3.25,28.9,0,2.5,0,11,0.25,0,0,1,0,0
2021-Gold Cup-Martinique,Martinique,62,3.67,17.7,8.33,47.2,0,2,0,13,2,0,0,1,0,0
2019-Gold Cup-Martinique,Martinique,61.7,2.33,19,8.33,43.9,0,2.33,0.33,5,2.33,0,0,1,0,0
2017-Gold Cup-Martinique,Martinique,55.3,2,16,5.67,35.4,0,1.33,0,12.7,3.33,0,0,1,0,0
2021-Gold Cup-Suriname,Suriname,45.3,1.67,10.3,4,38.7,0,3,1,11,2.33,0,0,1,0,0
2021-Gold Cup-Trin & Tobago,Trin & Tobago,64.3,1,21.7,6,27.7,0,0.67,0,11,1.67,0,0,1,0,0
2019-Gold Cup-Trin & Tobago,Trin & Tobago,51.3,3,17,6.67,39.2,0,0.67,0,1.67,1,0,0,1,0,0
2019-Gold Cup-Bermuda,Bermuda,59.3,1.33,20.3,7.67,37.7,0,1.67,0,1.67,1.33,0,0,1,0,0
2019-Gold Cup-Cuba,Cuba,59,5.67,25.3,12,47.4,0.67,1.33,0,3,2.67,0,0,1,0,0
2019-Gold Cup-Curaçao,Curaçao,50.8,0.75,17.8,6.75,38,0,0.25,0,2.5,1,0,0,1,0,0
2017-Gold Cup-Curaçao,Curaçao,53.3,2,15.7,8.33,53.2,0,0.67,0,14.3,0.67,0,0,1,0,0
2019-Gold Cup-Guyana,Guyana,58.3,2.67,17.7,6,34,0.33,0.33,0,2.67,1.33,0,0,1,0,0
2019-Gold Cup-Nicaragua,Nicaragua,43.7,2.33,14,6,42.9,0,2,0,2,1.67,0,0,1,0,0
2017-Gold Cup-Nicaragua,Nicaragua,52.3,2.33,16,8.67,54.2,0.33,2,0,11.7,1.67,0,0,1,0,0
2017-Gold Cup-French Guiana,French Guiana,49.5,2.33,15.3,6,39.1,0,1.33,0,11.7,1.67,0,0,1,0,0
2021-Africa Cup of Nations-Algeria,Algeria,36,1.33,9.67,4,41.4,0,2.67,0,9.33,2.33,0,1,0,0,0
2019-Africa Cup of Nations-Algeria,Algeria,50.7,0.27,10.4,2.6,25,0.14,2.05,0,7.95,0.41,0,1,0,0,0
2017-Africa Cup of Nations-Algeria,Algeria,45,1.67,12,5.33,44.4,0.67,1,0,9,2.33,0,1,0,0,0
2015-Africa Cup of Nations-Algeria,Algeria,49,1.25,10.8,3.25,30.2,0.25,1.25,0,10.8,0.5,0,1,0,0,0
2021-Africa Cup of Nations-Burkina Faso,Burkina Faso,57.3,1.23,13,4.38,33.7,0.41,2.6,0.14,8.22,2.47,0,1,0,0,0
2017-Africa Cup of Nations-Burkina Faso,Burkina Faso,50.3,0.48,12.9,3.49,27.2,0.16,1.59,0,11.1,0.63,0,1,0,0,0
2015-Africa Cup of Nations-Burkina Faso,Burkina Faso,44.3,1.33,11,4.33,39.4,0,1.33,0,13.3,0.33,0,1,0,0,0
2021-Africa Cup of Nations-Cameroon,Cameroon,40.3,0.82,7.81,3.42,43.9,0,2.05,0.14,8.49,1.51,0,1,0,0,0
2019-Africa Cup of Nations-Cameroon,Cameroon,37.3,0.75,11.8,1.75,14.9,0,1.25,0,10.3,0.5,0,1,0,0,0
2017-Africa Cup of Nations-Cameroon,Cameroon,49.7,0.48,10,3.02,30.2,0,0.79,0,12.4,0.16,0,1,0,0,0
2015-Africa Cup of Nations-Cameroon,Cameroon,45.3,1,7.67,4,52.2,0,2,0,17.7,0,0,1,0,0,0
2021-Africa Cup of Nations-Cape Verde,Cape Verde,53.8,1,12,3,25,0,1.25,0.25,8.75,1,0,1,0,0,0
2015-Africa Cup of Nations-Cape Verde,Cape Verde,50.3,0.33,11.7,2.67,22.9,0,1,0,17.7,0.33,0,1,0,0,0
2021-Africa Cup of Nations-Comoros,Comoros,56,1.75,15.8,6.25,39.7,0.25,1.5,0.25,10.3,1.5,0,1,0,0,0
2021-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,46,0.7,12.6,3.49,27.8,0.23,1.4,0,11.2,1.63,0,1,0,0,0
2019-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,56.6,0.57,12.5,3.4,27.3,0.19,1.13,0,8.87,0.19,0,1,0,0,0
2017-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,37.3,1,7.33,1.33,18.2,0,1,0,14,1,0,1,0,0,0
2015-Africa Cup of Nations-Côte d'Ivoire,Côte d'Ivoire,51,0.63,11.1,2.7,24.3,0.16,1.11,0,10.8,1.11,0,1,0,0,0
2021-Africa Cup of Nations-Equ. Guinea,Equ. Guinea,54.6,0.75,10.6,2.64,25,0.19,2.64,0.19,12.1,2.45,0,1,0,0,0
2015-Africa Cup of Nations-Equ. Guinea,Equ. Guinea,55.7,0.75,11.6,4.78,41,0.15,2.09,0,11.6,0.9,0,1,0,0,0
2021-Africa Cup of Nations-Ethiopia,Ethiopia,50.3,2,11.3,4,35.3,0,1,0,9.67,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Gabon,Gabon,56,0.93,9.3,2.79,30,0.47,2.79,0.23,14.4,3.49,0,1,0,0,0
2017-Africa Cup of Nations-Gabon,Gabon,45.7,0.67,9.33,2.33,25,0,1,0,8,0.33,0,1,0,0,0
2015-Africa Cup of Nations-Gabon,Gabon,40.3,1,12.3,4.67,37.8,0.33,1,0,9.33,2,0,1,0,0,0
2021-Africa Cup of Nations-Gambia,Gambia,61.8,0.6,19,3.8,20,0.4,2,0.4,7.6,2.6,0,1,0,0,0
2021-Africa Cup of Nations-Ghana,Ghana,49,1.67,12.7,3,23.7,0,1.67,0,9.67,2.33,0,1,0,0,0
2019-Africa Cup of Nations-Ghana,Ghana,50.5,0.7,8.6,2.79,32.4,0,1.4,0,5.81,0.93,0,1,0,0,0
2017-Africa Cup of Nations-Ghana,Ghana,49.5,0.83,11.8,3.33,28.2,0,1.17,0,12.5,0.33,0,1,0,0,0
2015-Africa Cup of Nations-Ghana,Ghana,50.2,0.48,8.57,1.11,13,0,2.86,0.16,15.9,0.63,0,1,0,0,0
2021-Africa Cup of Nations-Guinea,Guinea,42.3,0.75,10.8,3.75,34.9,0,2.25,0.25,6.25,2.5,0,1,0,0,0
2019-Africa Cup of Nations-Guinea,Guinea,41.5,1.5,8.5,3.75,44.1,0,2,0.25,12,0.75,0,1,0,0,0
2015-Africa Cup of Nations-Guinea,Guinea,48.3,1.5,11.5,3.75,32.6,0.25,1,0.25,17.8,1.25,0,1,0,0,0
2021-Africa Cup of Nations-Guinea-Bissau,Guinea-Bissau,51.7,1,14.3,4,27.9,0,1,0,9.67,1.33,0,1,0,0,0
2019-Africa Cup of Nations-Guinea-Bissau,Guinea-Bissau,58.7,1.33,10.7,2.33,21.9,0,1.67,0,5.67,1.33,0,1,0,0,0
2017-Africa Cup of Nations-Guinea-Bissau,Guinea-Bissau,54.3,1.33,10.7,3.33,31.3,0,1.33,0,11.3,1,0,1,0,0,0
2021-Africa Cup of Nations-Malawi,Malawi,70.5,1,14.8,5.5,37.3,0,1.25,0,5.75,2.25,0,1,0,0,0
2021-Africa Cup of Nations-Mali,Mali,41,0.23,6.98,1.86,26.7,0.47,2.33,0,9.77,1.63,0,1,0,0,0
2019-Africa Cup of Nations-Mali,Mali,46.5,0.75,6,2,33.3,0.25,2.5,0,7.75,1.5,0,1,0,0,0
2017-Africa Cup of Nations-Mali,Mali,47,0.67,6.67,2,30,0,1.67,0,12.3,0.33,0,1,0,0,0
2015-Africa Cup of Nations-Mali,Mali,58.3,1,9.67,2.33,24.1,0.33,0.67,0,11.3,2,0,1,0,0,0
2021-Africa Cup of Nations-Mauritania,Mauritania,53,2.33,13,5.33,41,0.67,2.33,0,5.67,1.67,0,1,0,0,0
2019-Africa Cup of Nations-Mauritania,Mauritania,57.3,1.33,8.33,3.33,40,0.33,2,0,9.33,2.33,0,1,0,0,0
2021-Africa Cup of Nations-Sierra Leone,Sierra Leone,60,1,18,7.33,40.7,0.33,1.33,0,6.67,3,0,1,0,0,0
2021-Africa Cup of Nations-Sudan,Sudan,59.7,1.33,12.7,5.33,42.1,0.33,1.33,0,9.67,1.33,0,1,0,0,0
2021-Africa Cup of Nations-Zimbabwe,Zimbabwe,53.7,1.33,13.7,3,22,0.33,2,0,9.33,2.67,0,1,0,0,0
2019-Africa Cup of Nations-Zimbabwe,Zimbabwe,47.7,2,11.3,6.67,58.8,0.33,1.33,0,13,0.67,0,1,0,0,0
2017-Africa Cup of Nations-Zimbabwe,Zimbabwe,56,2.67,19.7,8.67,44.1,0.33,1.67,0,17.3,1.33,0,1,0,0,0
2019-Africa Cup of Nations-Angola,Angola,48.3,0.67,4.33,0.67,15.4,0.33,1.33,0,4,2,0,1,0,0,0
2019-Africa Cup of Nations-Benin,Benin,58.4,0.75,11.9,3.4,28.6,0.19,2.08,0.19,8.87,1.13,0,1,0,0,0
2019-Africa Cup of Nations-Burundi,Burundi,58.7,1.33,13.7,4,29.3,0,0.67,0,8,1.33,0,1,0,0,0
2019-Africa Cup of Nations-Congo DR,Congo DR,51,1.4,12.3,4.19,34,0,1.4,0,10,1.63,0,1,0,0,0
2017-Africa Cup of Nations-Congo DR,Congo DR,55.8,1.25,11,4,36.4,0.25,1,0,9.75,0.75,0,1,0,0,0
2015-Africa Cup of Nations-Congo DR,Congo DR,47,1.11,12.1,4.76,39.5,0,1.43,0,12.1,0,0,1,0,0,0
2019-Africa Cup of Nations-Kenya,Kenya,56,2.33,13,6.33,48.7,1,1,0,7.33,2.67,0,1,0,0,0
2019-Africa Cup of Nations-Madagascar,Madagascar,55.6,1.32,14.2,4.34,30.7,0.19,0.57,0,9.06,0.19,0,1,0,0,0
2019-Africa Cup of Nations-Namibia,Namibia,56.3,1.67,16.7,6.67,40,0,0.33,0,11,1.67,0,1,0,0,0
2019-Africa Cup of Nations-South Africa,South Africa,48.6,0.8,10.4,2.8,26.9,0,1.6,0,12.4,0.6,0,1,0,0,0
2015-Africa Cup of Nations-South Africa,South Africa,55.3,1.67,14,5.67,40.5,0,0.67,0,15,1.33,0,1,0,0,0
2019-Africa Cup of Nations-Tanzania,Tanzania,57.7,2.67,19,8.33,43.9,0,2,0,7,2.33,0,1,0,0,0
2019-Africa Cup of Nations-Uganda,Uganda,54,1,9,2.75,30.6,0.25,1.25,0,7.75,1,0,1,0,0,0
2017-Africa Cup of Nations-Uganda,Uganda,52.3,1,12,3,25,0.33,0.33,0,8.33,1,0,1,0,0,0
2017-Africa Cup of Nations-Togo,Togo,54.3,2,14,4.33,31,0,0.67,0,11.3,0.33,0,1,0,0,0
2015-Africa Cup of Nations-Congo,Congo,52.8,1.5,12.8,4.75,37.3,0,1.25,0,9.25,0.5,0,1,0,0,0
2015-Africa Cup of Nations-Zambia,Zambia,56.7,1,10.7,3.33,31.3,0,0.33,0,12.7,2.33,0,1,0,0,0
2022-UEFA WCQ-Andorra,Andorra,73.4,2.4,16.4,5.1,31.1,0.4,2.3,0,5.9,3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Andorra,Andorra,76.9,2,17.3,5.9,34.1,0.3,1.6,0.2,6.7,2,0,0,0,0,1
2022-UEFA WCQ-Armenia,Armenia,55.3,2,12.2,4.7,38.5,0.3,2.2,0.1,9.3,1.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-Armenia,Armenia,60.3,2.5,15.8,7,44.3,0.1,1.9,0,9.1,2,0,0,0,0,1
2022-UEFA WCQ-Azerbaijan,Azerbaijan,58.1,2.13,21,7.88,37.5,0.38,1.38,0,11.4,2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Azerbaijan,Azerbaijan,59.8,2.13,19,6.88,36.2,0.13,1.88,0,7.63,2.88,0,0,0,0,1
2022-UEFA WCQ-Belarus,Belarus,62,3,16.1,6.63,41.1,0.38,1.88,0.13,9.25,2.13,0,0,0,0,1
2021-UEFA Euro Qualifiers-Belarus,Belarus,59.6,1.89,15.7,5,31.9,0.22,1.22,0,9.78,1.33,0,0,0,0,1
2022-UEFA WCQ-Bosnia & Herz'na,Bosnia & Herz'na,48,1.5,9.63,3.25,33.8,0.13,1.63,0.25,10.6,1.75,0,0,0,0,1
2021-UEFA Euro Qualifiers-Bosnia & Herz'na,Bosnia & Herz'na,44.9,1.42,12.6,4.96,39.4,0.18,1.59,0,11.4,1.68,0,0,0,0,1
2022-UEFA WCQ-Bulgaria,Bulgaria,61.3,1.75,15.9,5.38,33.9,0.13,2.38,0,8.75,2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Bulgaria,Bulgaria,57.4,2.22,14.7,5.56,37.9,0.22,2.11,0,10.9,1.11,0,0,0,0,1
2022-UEFA WCQ-Cyprus,Cyprus,64.3,2.1,15,5.6,37.3,0.1,1.8,0,9.6,1.7,0,0,0,0,1
2021-UEFA Euro Qualifiers-Cyprus,Cyprus,48.6,1.9,13,5.6,43.1,0,2,0,9.2,1.2,0,0,0,0,1
2022-UEFA WCQ-Estonia,Estonia,65,2.63,17.4,6.5,37.4,0.13,1.63,0,9.38,2.38,0,0,0,0,1
2021-UEFA Euro Qualifiers-Estonia,Estonia,62,3.25,18.5,8.75,47.3,0.25,0.63,0.13,7.5,1,0,0,0,0,1
2022-UEFA WCQ-Faroe Islands,Faroe Islands,62.4,2.3,16.7,6.3,37.7,0.1,1.5,0,11.8,1.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Faroe Islands,Faroe Islands,59.5,2.9,18.7,7.3,39,0.1,1.8,0.1,8.1,1.5,0,0,0,0,1
2022-UEFA WCQ-Georgia,Georgia,59.3,1.38,11.9,5.25,44.2,0.25,2.63,0,12.8,2.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Georgia,Georgia,50.8,1.2,13.4,4.8,35.8,0.1,1.3,0,9.3,2,0,0,0,0,1
2022-UEFA WCQ-Gibraltar,Gibraltar,73.4,4.3,27.2,10.6,39,0.5,1.3,0,5.7,2.2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Gibraltar,Gibraltar,73.5,3.75,26.5,9.13,34.4,0.38,1,0,8.75,1.88,0,0,0,0,1
2022-UEFA WCQ-Greece,Greece,53,1,9.5,3,31.6,0.25,2.5,0,9.63,2.75,0,0,0,0,1
2021-UEFA Euro Qualifiers-Greece,Greece,42.4,1.4,9.2,3.5,38,0.2,1.5,0.1,11.1,2.5,0,0,0,0,1
2022-UEFA WCQ-Israel,Israel,48.2,2.1,14.2,6.3,44.4,0.2,2.2,0.2,13.6,1.7,0,0,0,0,1
2021-UEFA Euro Qualifiers-Israel,Israel,44.6,1.59,13.7,5.22,38.1,0.09,2.12,0,11.7,1.59,0,0,0,0,1
2022-UEFA WCQ-Kazakhstan,Kazakhstan,61.5,2.38,20.5,8.13,39.6,0.38,1.38,0,6.63,2.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Kazakhstan,Kazakhstan,53.8,1.6,14.6,5,34.2,0,1.6,0,8.9,2.3,0,0,0,0,1
2022-UEFA WCQ-Kosovo,Kosovo,59.4,1.88,15.6,5.75,36.8,0.25,1.75,0,8.25,2.88,0,0,0,0,1
2021-UEFA Euro Qualifiers-Kosovo,Kosovo,50,1.78,12.2,5.67,46.4,0.11,2.44,0,10.8,2.11,0,0,0,0,1
2022-UEFA WCQ-Latvia,Latvia,63.4,1.4,19.8,6.6,33.3,0.4,1.9,0,7.9,2.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Latvia,Latvia,66.1,2.6,22.3,8.4,37.7,0.2,1.1,0,10.1,2.3,0,0,0,0,1
2022-UEFA WCQ-Liechtenstein,Liechtenstein,75.3,3.1,27.9,11,39.4,0.8,0.6,0,6.9,1.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-Liechtenstein,Liechtenstein,72.6,3,26.8,9.7,36.2,0.3,0.9,0,9.2,0.9,0,0,0,0,1
2022-UEFA WCQ-Lithuania,Lithuania,64.1,2.13,18.3,7,38.4,0.5,1.13,0.13,9.63,2.13,0,0,0,0,1
2021-UEFA Euro Qualifiers-Lithuania,Lithuania,63.9,3.13,22,8.75,39.8,0.25,1.25,0,8.88,2.13,0,0,0,0,1
2022-UEFA WCQ-Luxembourg,Luxembourg,52.5,2.13,14.1,6.13,43.4,0.25,2.63,0.13,10.6,2.25,0,0,0,0,1
2021-UEFA Euro Qualifiers-Luxembourg,Luxembourg,57.3,1.88,15.4,6.63,43.1,0,2.38,0.25,7.75,1.88,0,0,0,0,1
2022-UEFA WCQ-Malta,Malta,55.9,3,15.5,6.6,42.6,0.4,1.3,0.1,10.4,2.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Malta,Malta,67.1,2.6,19.1,7.8,40.8,0.5,0.8,0.1,7.6,1.5,0,0,0,0,1
2022-UEFA WCQ-Moldova,Moldova,63.2,3,15.2,6.7,44.1,0.3,0.6,0,9.6,2.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Moldova,Moldova,58.1,2.5,15.9,6.2,39,0.3,1.6,0,8.8,2.3,0,0,0,0,1
2022-UEFA WCQ-Montenegro,Montenegro,52.2,1.5,11,4.4,40,0.3,2,0,12.9,2.4,0,0,0,0,1
2021-UEFA Euro Qualifiers-Montenegro,Montenegro,57.3,2.5,15,5.75,38.3,0.38,2.25,0,9.75,1.75,0,0,0,0,1
2022-UEFA WCQ-Norway,Norway,41.5,0.8,8.3,2.6,31.3,0,2.2,0.1,9.8,1.7,0,0,0,0,1
2021-UEFA Euro Qualifiers-Norway,Norway,47.6,1.06,11.2,4.42,39.4,0.27,2.3,0,10.3,0.44,0,0,0,0,1
2022-UEFA WCQ-San Marino,San Marino,75.1,4.4,23.5,10.1,43,0.5,0.9,0,7.1,2.4,0,0,0,0,1
2021-UEFA Euro Qualifiers-San Marino,San Marino,78,4.8,30.8,12.6,40.9,0.6,0.8,0,5.8,1.8,0,0,0,0,1
2022-UEFA WCQ-Slovenia,Slovenia,50.3,1.2,10.4,3.7,35.6,0.1,2.2,0,9.5,2.1,0,0,0,0,1
2021-UEFA Euro Qualifiers-Slovenia,Slovenia,49.2,1.1,11.5,4.3,37.4,0,3.1,0,11,1.4,0,0,0,0,1
