Key,Year,Competition,Squad,O. Age,O. Poss,MP
2019-de Bundesliga-Hertha BSC,2019,de Bundesliga,Hertha BSC,25.9,51.9,34
2019-de Bundesliga-Hoffenheim,2019,de Bundesliga,Hoffenheim,26,46.4,34
2019-eng Premier League-Huddersfield,2019,eng Premier League,Huddersfield,26.5,53,38
2019-es La Liga-Huesca,2019,es La Liga,Huesca,26.6,55.3,38
2019-it Serie A-Inter,2019,it Serie A,Inter,26.8,40.4,38
2019-it Serie A-Juventus,2019,it Serie A,Juventus,26.9,43.8,38
2019-it Serie A-Lazio,2019,it Serie A,Lazio,26.8,49.2,38
2019-es La Liga-Leganés,2019,es La Liga,Leganés,26.8,57.2,38
2019-eng Premier League-Leicester City,2019,eng Premier League,Leicester City,26.8,48.9,38
2019-es La Liga-Levante,2019,es La Liga,Levante,26.9,54.4,38
2019-de Bundesliga-Leverkusen,2019,de Bundesliga,Leverkusen,25.7,40.1,34
2019-fr Ligue 1-Lille,2019,fr Ligue 1,Lille,26,48.5,38
2019-eng Premier League-Liverpool,2019,eng Premier League,Liverpool,26.9,38.3,38
2019-fr Ligue 1-Lyon,2019,fr Ligue 1,Lyon,26.2,39.2,38
2019-de Bundesliga-M'Gladbach,2019,de Bundesliga,M'Gladbach,25.9,46.9,34
2019-de Bundesliga-Mainz 05,2019,de Bundesliga,Mainz 05,26,53.9,34
2019-eng Premier League-Manchester City,2019,eng Premier League,Manchester City,26.6,32.2,38
2019-eng Premier League-Manchester Utd,2019,eng Premier League,Manchester Utd,26.9,45.5,38
2019-fr Ligue 1-Marseille,2019,fr Ligue 1,Marseille,25.9,44.5,38
2019-it Serie A-Milan,2019,it Serie A,Milan,26.9,45.8,38
2019-fr Ligue 1-Monaco,2019,fr Ligue 1,Monaco,25.9,50.2,38
2019-fr Ligue 1-Montpellier,2019,fr Ligue 1,Montpellier,26.1,52.2,38
2019-fr Ligue 1-Nantes,2019,fr Ligue 1,Nantes,26.1,49.9,38
2019-it Serie A-Napoli,2019,it Serie A,Napoli,27,40.6,38
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,26.8,59.6,38
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,25.8,44.4,38
2019-fr Ligue 1-Nîmes,2019,fr Ligue 1,Nîmes,26.1,54.6,38
2019-de Bundesliga-Nürnberg,2019,de Bundesliga,Nürnberg,25.8,57.7,34
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,25.9,35.9,38
2019-it Serie A-Parma,2019,it Serie A,Parma,26.7,62.7,38
2019-es La Liga-Rayo Vallecano,2019,es La Liga,Rayo Vallecano,26.9,51.3,38
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,25.8,50.7,34
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,26.8,40,38
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,26.9,48.4,38
2019-fr Ligue 1-Reims,2019,fr Ligue 1,Reims,25.9,56.7,38
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,26.3,49.3,38
2019-it Serie A-Roma,2019,it Serie A,Roma,26.7,48.3,38
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,25.7,47.3,38
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,26.7,44.7,38
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,27,46,38
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,25.9,54.6,34
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,27,47.8,38
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,26.7,56.1,38
2019-it Serie A-SPAL,2019,it Serie A,SPAL,26.6,49.4,38
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,26,49.8,38
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,26,54.1,34
2019-it Serie A-Torino,2019,it Serie A,Torino,26.9,48.6,38
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,26.7,41.1,38
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,25.8,51.7,38
2019-it Serie A-Udinese,2019,it Serie A,Udinese,26.8,57.6,38
2019-es La Liga-Valencia,2019,es La Liga,Valencia,27.3,52.9,38
2019-es La Liga-Valladolid,2019,es La Liga,Valladolid,26.9,53,38
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,26.8,51.7,38
2019-eng Premier League-Watford,2019,eng Premier League,Watford,26.8,52.9,38
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,25.7,47.8,34
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,26.7,51.3,38
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,25.8,46.7,34
2019-eng Premier League-Wolves,2019,eng Premier League,Wolves,26.8,53.1,38
